Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D42,~,D_DO-35_SOD27_P5.08mm_Horizontal,265.495652,-72.385,-90.0,top
D43,~,D_DO-35_SOD27_P5.08mm_Horizontal,276.918478,-68.81,-90.0,top
D45,~,D_DO-35_SOD27_P5.08mm_Horizontal,78.922826,-74.1725,-90.0,top
D46,~,D_DO-35_SOD27_P5.08mm_Horizontal,101.768478,-75.96,-90.0,top
D47,~,D_DO-35_SOD27_P5.08mm_Horizontal,120.806522,-75.96,-90.0,top
D48,~,D_DO-35_SOD27_P5.08mm_Horizontal,136.036957,-74.1725,-90.0,top
D49,~,D_DO-35_SOD27_P5.08mm_Horizontal,151.267391,-72.385,-90.0,top
D5,~,D_DO-35_SOD27_P5.08mm_Horizontal,139.844565,-75.96,-90.0,top
D50,~,D_DO-35_SOD27_P5.08mm_Horizontal,166.497826,-70.5975,-90.0,top
D51,~,D_DO-35_SOD27_P5.08mm_Horizontal,185.53587,-70.5975,-90.0,top
D52,~,D_DO-35_SOD27_P5.08mm_Horizontal,200.766304,-68.81,-90.0,top
D53,~,D_DO-35_SOD27_P5.08mm_Horizontal,204.573913,-70.5975,-90.0,top
D54,~,D_DO-35_SOD27_P5.08mm_Horizontal,223.611957,-70.5975,-90.0,top
D55,~,D_DO-35_SOD27_P5.08mm_Horizontal,242.65,-70.5975,-90.0,top
D56,~,D_DO-35_SOD27_P5.08mm_Horizontal,261.688043,-70.5975,-90.0,top
D57,~,D_DO-35_SOD27_P5.08mm_Horizontal,257.880435,-68.81,-90.0,top
D59,~,D_DO-35_SOD27_P5.08mm_Horizontal,82.730435,-75.96,-90.0,top
D6,~,D_DO-35_SOD27_P5.08mm_Horizontal,158.882609,-75.96,-90.0,top
D60,~,D_DO-35_SOD27_P5.08mm_Horizontal,97.96087,-74.1725,-90.0,top
D61,~,D_DO-35_SOD27_P5.08mm_Horizontal,116.998913,-74.1725,-90.0,top
D62,~,D_DO-35_SOD27_P5.08mm_Horizontal,170.305435,-72.385,-90.0,top
D69,3.6V,D_DO-35_SOD27_P5.08mm_Horizontal,379.916667,-67.54,90.0,top
D7,~,D_DO-35_SOD27_P5.08mm_Horizontal,177.920652,-75.96,-90.0,top
D70,3.6V,D_DO-35_SOD27_P5.08mm_Horizontal,376.4,-67.54,90.0,top
D72,~,D_DO-35_SOD27_P5.08mm_Horizontal,292.148913,-75.96,-90.0,top
D73,~,D_DO-35_SOD27_P5.08mm_Horizontal,219.804348,-68.81,-90.0,top
D74,~,D_DO-35_SOD27_P5.08mm_Horizontal,238.842391,-68.81,-90.0,top
D75,~,D_DO-35_SOD27_P5.08mm_Horizontal,326.417391,-74.1725,-90.0,top
D76,~,D_DO-35_SOD27_P5.08mm_Horizontal,311.186957,-75.96,-90.0,top
D77,~,D_DO-35_SOD27_P5.08mm_Horizontal,303.571739,-72.385,-90.0,top
D78,~,D_DO-35_SOD27_P5.08mm_Horizontal,295.956522,-68.81,-90.0,top
D79,~,D_DO-35_SOD27_P5.08mm_Horizontal,322.609783,-72.385,-90.0,top
D8,~,D_DO-35_SOD27_P5.08mm_Horizontal,196.958696,-75.96,-90.0,top
D80,~,D_DO-35_SOD27_P5.08mm_Horizontal,318.802174,-70.5975,-90.0,top
D81,~,D_DO-35_SOD27_P5.08mm_Horizontal,299.76413,-70.5975,-90.0,top
D82,~,D_DO-35_SOD27_P5.08mm_Horizontal,330.225,-75.96,-90.0,top
D83,~,D_DO-35_SOD27_P5.08mm_Horizontal,307.379348,-74.1725,-90.0,top
D9,~,D_DO-35_SOD27_P5.08mm_Horizontal,215.996739,-75.96,-90.0,top
F1,500mA,polyfuse_5.1mm,344.0,-73.6,180.0,top
LED1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,327.45,-64.4625,90.0,bottom
LED10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,58.55,-121.05,0.0,bottom
LED11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,57.05,-152.45,90.0,bottom
LED12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,66.4,-176.8,0.0,bottom
LED13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,100.9,-175.95,270.0,bottom
LED14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,144.4375,-175.95,270.0,bottom
LED15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,179.65,-175.95,270.0,bottom
LED16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,217.45,-175.95,270.0,bottom
LED17,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,259.3125,-175.95,270.0,bottom
LED18,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,313.6375,-175.95,270.0,bottom
LED19,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,367.65,-175.95,270.0,bottom
LED2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,290.3125,-64.4625,90.0,bottom
LED20,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,401.5,-157.0,180.0,bottom
LED21,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,401.5,-128.35,180.0,bottom
LED22,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,401.5,-101.55,180.0,bottom
LED23,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,401.5,-72.6,180.0,bottom
LED24,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,368.8,-64.4625,90.0,bottom
LED3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,251.95,-64.4625,90.0,bottom
LED4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,213.65,-64.4625,90.0,bottom
LED5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,174.8,-64.4625,90.0,bottom
LED6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,137.4375,-64.4625,90.0,bottom
LED7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,99.7,-64.4625,90.0,bottom
LED8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,58.55,-72.8,0.0,bottom
LED9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,58.55,-102.05,0.0,bottom
R1,5.1k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,357.8,-66.624047,-90.0,top
R2,5.1k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,361.316667,-66.624047,-90.0,top
SW1,KEYSW,MX-Hotswap-1U,62.71975,-92.4057,0.0,bottom
SW10,KEYSW,MX-Hotswap-1U,234.16975,-92.4057,0.0,bottom
SW11,KEYSW,MX-Hotswap-1U,253.21975,-92.4057,0.0,bottom
SW12,KEYSW,MX-Hotswap-1U,272.26975,-92.4057,0.0,bottom
SW13,KEYSW,MX-Hotswap-1U,291.31975,-92.4057,0.0,bottom
SW14,KEYSW,MX-Hotswap-2U,320.51625,-95.6437,0.0,bottom
SW16,KEYSW,MX-Hotswap-1.5U,67.48225,-111.4557,0.0,bottom
SW17,KEYSW,MX-Hotswap-1U,91.29475,-111.4557,0.0,bottom
SW18,KEYSW,MX-Hotswap-1U,110.34475,-111.4557,0.0,bottom
